=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.01.19 04:16:01 =~=~=~=~=~=~=~=~=~=~=~=
{lll|lprrc"No$nn#cp#l {lpol#o|Boo$d`2on$`nro"l$pnrbo|bnol nNl osn#`{nc`{l NdInitializing pulse oximeter..
SUCCESS
0.00
0.00
85.32
0.00
0.00
85.44
42.12
0.00
85.55
42.12
0.00
85.55
38.37
0.00
85.55
38.37
0.00
85.66
0.00
0.00
85.55
57.14
0.00
85.66
57.14
0.00
85.66
0.00
0.00
85.77
75.36
0.00
85.77
101.85
93.00
85.89
53.03
93.00
85.89
53.03
93.00
85.89
0.00
0.00
86.00
0.00
0.00
86.00
26.53
0.00
86.00
30.65
0.00
86.00
44.50
93.00
86.00
94.26
93.00
86.11
69.62
93.00
86.11
57.89
93.00
86.22
57.89
93.00
86.22
34.77
93.00
86.11
34.77
93.00
86.22
31.00
93.00
86.22
50.
